"","dBa","neighborhood"
"1",52.6714821673629,"Buena Vista"
"2",53.1888066371393,"Buena Vista"
"3",53.1092514697042,"Buena Vista"
"4",53.3662050406742,"Buena Vista"
"5",52.8325599993575,"Buena Vista"
"6",51.3441823427927,"Buena Vista"
"7",50.801605834559,"Buena Vista"
"8",52.8384057020701,"Buena Vista"
"9",52.3013282890504,"Buena Vista"
"10",52.8279049151202,"Buena Vista"
"11",52.031002019158,"Buena Vista"
"12",50.1798392535515,"Buena Vista"
"13",51.3604562251595,"Buena Vista"
"14",51.8577561368858,"Buena Vista"
"15",51.7604546464707,"Buena Vista"
"16",51.1934471861673,"Buena Vista"
"17",53.0934806105784,"Buena Vista"
"18",51.9320559338851,"Buena Vista"
"19",50.7625046090475,"Buena Vista"
"20",50.9868029406701,"Buena Vista"
"21",52.1435883880284,"Buena Vista"
"22",52.1889975068637,"Buena Vista"
"23",52.2782961488812,"Buena Vista"
"24",52.3695510758569,"Buena Vista"
"25",51.9772918072974,"Buena Vista"
"26",50.7720746753862,"Buena Vista"
"27",52.9442868429857,"Buena Vista"
"28",52.9585249172722,"Buena Vista"
"29",51.8048851190744,"Buena Vista"
"30",51.5056164356394,"Buena Vista"
"31",52.0610532661239,"Buena Vista"
"32",52.1163323975673,"Buena Vista"
"33",50.9501951011038,"Buena Vista"
"34",52.057561432523,"Buena Vista"
"35",53.5027494028011,"Buena Vista"
"36",51.814319878954,"Buena Vista"
"37",50.7141428498942,"Buena Vista"
"38",53.1084823626199,"Buena Vista"
"39",52.1648971605824,"Buena Vista"
"40",52.3659869771442,"Buena Vista"
"41",52.3596853495835,"Buena Vista"
"42",50.900286320421,"Buena Vista"
"43",52.7436281452646,"Buena Vista"
"44",52.0701469822713,"Buena Vista"
"45",54.4919966721954,"Buena Vista"
"46",51.5553450780301,"Buena Vista"
"47",53.2810498911073,"Buena Vista"
"48",51.5713089000755,"Buena Vista"
"49",52.4359581036185,"Buena Vista"
"50",53.4266577692438,"Buena Vista"
"51",51.4204474732714,"Buena Vista"
"52",52.430393545517,"Buena Vista"
"53",52.0981359617653,"Buena Vista"
"54",53.5087848455928,"Buena Vista"
"55",53.0414380346739,"Buena Vista"
"56",52.9300006022551,"Buena Vista"
"57",52.4013943027225,"Buena Vista"
"58",50.4441902636993,"Buena Vista"
"59",52.0351530233409,"Buena Vista"
"60",51.2489289604793,"Buena Vista"
"61",52.0877005413616,"Buena Vista"
"62",53.2158441958849,"Buena Vista"
"63",51.316187784185,"Buena Vista"
"64",51.9456483613409,"Buena Vista"
"65",52.2446783433668,"Buena Vista"
"66",52.4193376676119,"Buena Vista"
"67",54.0310273188057,"Buena Vista"
"68",53.0995852657576,"Buena Vista"
"69",53.3882511581787,"Buena Vista"
"70",53.2113717446665,"Buena Vista"
"71",52.5904515434618,"Buena Vista"
"72",51.7894851118095,"Buena Vista"
"73",51.1434872567965,"Buena Vista"
"74",53.6534815197896,"Buena Vista"
"75",53.076443371606,"Buena Vista"
"76",51.5904769798258,"Buena Vista"
"77",52.9257667972887,"Buena Vista"
"78",53.4371955804086,"Buena Vista"
"79",50.0154074233364,"Buena Vista"
"80",52.8982969484865,"Buena Vista"
"81",53.9376541349134,"Buena Vista"
"82",51.5416969957834,"Buena Vista"
"83",52.0740636971046,"Buena Vista"
"84",51.6635547393432,"Buena Vista"
"85",51.1593135114872,"Buena Vista"
"86",51.7070851396749,"Buena Vista"
"87",50.6738596295296,"Buena Vista"
"88",52.2440101881855,"Buena Vista"
"89",50.4250080355891,"Buena Vista"
"90",52.9169960359763,"Buena Vista"
"91",51.3128360931627,"Buena Vista"
"92",51.4099816061739,"Buena Vista"
"93",50.9226085538216,"Buena Vista"
"94",52.9384391073274,"Buena Vista"
"95",51.1826199769107,"Buena Vista"
"96",51.0937209797933,"Buena Vista"
"97",52.1528951477633,"Buena Vista"
"98",52.8576953052404,"Buena Vista"
"99",53.348538592835,"Buena Vista"
"100",50.9192837157065,"Buena Vista"
"101",51.0289530599773,"Buena Vista"
"102",52.1577463526601,"Buena Vista"
"103",51.9676122551398,"Buena Vista"
"104",52.1390727260136,"Buena Vista"
"105",51.5709928150239,"Buena Vista"
"106",53.6794140407134,"Buena Vista"
"107",51.2476762514784,"Buena Vista"
"108",52.3130714567785,"Buena Vista"
"109",52.5851206697924,"Buena Vista"
"110",50.2800739624304,"Buena Vista"
"111",51.2124543164448,"Buena Vista"
"112",51.8272223633544,"Buena Vista"
"113",52.1922359866462,"Buena Vista"
"114",51.5852376567281,"Buena Vista"
"115",53.8192666542928,"Buena Vista"
"116",52.290731887913,"Buena Vista"
"117",52.2439855757392,"Buena Vista"
"118",50.8307346984836,"Buena Vista"
"119",51.4366185378565,"Buena Vista"
"120",51.852302001512,"Buena Vista"
"121",53.9951992408461,"Buena Vista"
"122",52.8549295074499,"Buena Vista"
"123",50.4663356441964,"Buena Vista"
"124",53.4727041592146,"Buena Vista"
"125",51.8339218759737,"Buena Vista"
"126",51.505163000543,"Buena Vista"
"127",52.9149819631265,"Buena Vista"
"128",52.9528568596537,"Buena Vista"
"129",53.3125983123408,"Buena Vista"
"130",51.7077121259485,"Buena Vista"
"131",51.288728009624,"Buena Vista"
"132",51.9750485039151,"Buena Vista"
"133",51.3920088880314,"Buena Vista"
"134",52.0315901220044,"Buena Vista"
"135",51.3954174767586,"Buena Vista"
"136",53.4387435549146,"Buena Vista"
"137",50.0103406350699,"Buena Vista"
"138",49.7293805847125,"Buena Vista"
"139",51.6067153945605,"Buena Vista"
"140",53.2905979384225,"Buena Vista"
"141",52.3965625452415,"Buena Vista"
"142",51.1489775589916,"Buena Vista"
"143",50.6082796311335,"Buena Vista"
"144",51.2171994545055,"Buena Vista"
"145",50.2882177157706,"Buena Vista"
"146",51.3850754472482,"Buena Vista"
"147",50.9241374166481,"Buena Vista"
"148",52.1516496781665,"Buena Vista"
"149",53.3193222776366,"Buena Vista"
"150",52.5493184574549,"Buena Vista"
"151",52.0530725993959,"Buena Vista"
"152",50.1904987874594,"Buena Vista"
"153",52.6223179622325,"Buena Vista"
"154",51.7880182810954,"Buena Vista"
"155",52.5254383022055,"Buena Vista"
"156",52.4605765355409,"Buena Vista"
"157",52.2084505649941,"Buena Vista"
"158",51.8588930719689,"Buena Vista"
"159",51.1129996302149,"Buena Vista"
"160",52.7448148201101,"Buena Vista"
"161",57.5036437092039,"Buena Vista"
"162",60.21621300459,"Buena Vista"
"163",58.5090372735724,"Buena Vista"
"164",57.7504230708632,"Buena Vista"
"165",53.5489114152847,"Buena Vista"
"166",58.0944100111352,"Buena Vista"
"167",57.3502826785607,"Buena Vista"
