"","dBa","neighborhood"
"1",45.2061548698207,"Coconut Grove"
"2",47.7349890735699,"Coconut Grove"
"3",45.7049247603165,"Coconut Grove"
"4",49.8599518086994,"Coconut Grove"
"5",50.4093703805003,"Coconut Grove"
"6",42.5651635286165,"Coconut Grove"
"7",48.880702474853,"Coconut Grove"
"8",42.4981561368098,"Coconut Grove"
"9",45.0253575179882,"Coconut Grove"
"10",45.8679753335891,"Coconut Grove"
"11",52.6789449092466,"Coconut Grove"
"12",50.3460462465417,"Coconut Grove"
"13",46.9076353206299,"Coconut Grove"
"14",45.9963102519047,"Coconut Grove"
"15",44.6461240643403,"Coconut Grove"
"16",45.8793294086121,"Coconut Grove"
"17",47.4394075121385,"Coconut Grove"
"18",48.4720222339267,"Coconut Grove"
"19",50.3444311908679,"Coconut Grove"
"20",51.1560792851495,"Coconut Grove"
"21",45.9695758168586,"Coconut Grove"
"22",42.9566995021654,"Coconut Grove"
"23",44.5442425448215,"Coconut Grove"
"24",54.3358342000516,"Coconut Grove"
"25",47.1635848070262,"Coconut Grove"
"26",50.0578171875095,"Coconut Grove"
"27",44.1302386303199,"Coconut Grove"
"28",46.9911680654476,"Coconut Grove"
"29",52.4661997636082,"Coconut Grove"
"30",45.540116327225,"Coconut Grove"
"31",45.4350462562405,"Coconut Grove"
"32",45.9982436966237,"Coconut Grove"
"33",52.8550347040407,"Coconut Grove"
"34",50.4712697891518,"Coconut Grove"
"35",47.8193145696307,"Coconut Grove"
"36",48.3789390482707,"Coconut Grove"
"37",45.9242545566987,"Coconut Grove"
"38",46.6733371479437,"Coconut Grove"
"39",50.6450209865114,"Coconut Grove"
"40",46.809416028508,"Coconut Grove"
"41",45.8514394780388,"Coconut Grove"
"42",50.3674449307611,"Coconut Grove"
"43",42.5569793049712,"Coconut Grove"
"44",46.7126059835078,"Coconut Grove"
"45",50.8519954671385,"Coconut Grove"
"46",45.7018733297009,"Coconut Grove"
"47",51.1241015502717,"Coconut Grove"
"48",47.8742881502723,"Coconut Grove"
"49",45.3027444039937,"Coconut Grove"
"50",45.9849713285919,"Coconut Grove"
"51",49.4022252078634,"Coconut Grove"
"52",53.2049835583428,"Coconut Grove"
"53",47.0621874566423,"Coconut Grove"
"54",52.410509681562,"Coconut Grove"
"55",49.5012915597996,"Coconut Grove"
"56",50.0561348985182,"Coconut Grove"
"57",48.0481597653124,"Coconut Grove"
"58",47.9973294278374,"Coconut Grove"
"59",43.7508891736856,"Coconut Grove"
"60",45.5914578092638,"Coconut Grove"
"61",45.8844668423236,"Coconut Grove"
"62",47.1335874138167,"Coconut Grove"
"63",47.5021873274818,"Coconut Grove"
"64",51.4943146675825,"Coconut Grove"
"65",50.3789527109591,"Coconut Grove"
"66",47.2197872012621,"Coconut Grove"
"67",44.664565064502,"Coconut Grove"
"68",47.7630767338211,"Coconut Grove"
"69",50.2667289178353,"Coconut Grove"
"70",48.3098962832941,"Coconut Grove"
"71",50.1462587032933,"Coconut Grove"
"72",48.9399936783127,"Coconut Grove"
"73",51.6420667295577,"Coconut Grove"
"74",47.3867578587029,"Coconut Grove"
"75",47.1807598054409,"Coconut Grove"
"76",45.6987056944519,"Coconut Grove"
"77",44.0433972039726,"Coconut Grove"
"78",45.3779767416883,"Coconut Grove"
"79",43.9835902615916,"Coconut Grove"
"80",50.7715985793388,"Coconut Grove"
"81",48.8746384572936,"Coconut Grove"
"82",49.6134649032494,"Coconut Grove"
"83",46.516796107986,"Coconut Grove"
"84",49.037136958912,"Coconut Grove"
"85",53.2751633917214,"Coconut Grove"
"86",46.4303674676223,"Coconut Grove"
"87",44.9543294676812,"Coconut Grove"
"88",46.6176119337304,"Coconut Grove"
"89",46.5351029815618,"Coconut Grove"
"90",51.0994609643705,"Coconut Grove"
"91",43.1194513698341,"Coconut Grove"
"92",44.0440731801558,"Coconut Grove"
"93",45.0376049915647,"Coconut Grove"
"94",45.941549039376,"Coconut Grove"
"95",51.8434485941427,"Coconut Grove"
"96",45.0383509100415,"Coconut Grove"
"97",46.2949401527643,"Coconut Grove"
"98",49.0744649285683,"Coconut Grove"
"99",46.1849972175434,"Coconut Grove"
"100",45.8999582168413,"Coconut Grove"
"101",46.9917684684042,"Coconut Grove"
"102",52.8133348429808,"Coconut Grove"
"103",50.0499759833328,"Coconut Grove"
"104",46.1493154294556,"Coconut Grove"
"105",45.5137426344212,"Coconut Grove"
"106",49.3626883025747,"Coconut Grove"
"107",45.1796270235209,"Coconut Grove"
"108",45.0614352161996,"Coconut Grove"
"109",49.3710944768973,"Coconut Grove"
"110",45.2916030783439,"Coconut Grove"
"111",47.0989073432051,"Coconut Grove"
"112",46.2092646304052,"Coconut Grove"
"113",48.0002312777098,"Coconut Grove"
"114",53.0455134966876,"Coconut Grove"
"115",46.2210855757352,"Coconut Grove"
"116",46.4724198693798,"Coconut Grove"
"117",54.0742835971527,"Coconut Grove"
"118",44.5864607577864,"Coconut Grove"
"119",45.0279498641379,"Coconut Grove"
"120",46.274209210882,"Coconut Grove"
"121",47.9274632313754,"Coconut Grove"
"122",55.4429969518911,"Coconut Grove"
"123",47.2944668652922,"Coconut Grove"
"124",52.0306510052178,"Coconut Grove"
"125",45.0896054502809,"Coconut Grove"
"126",44.3381510426523,"Coconut Grove"
"127",50.8742461146321,"Coconut Grove"
"128",46.9059833503075,"Coconut Grove"
"129",49.7465022919234,"Coconut Grove"
"130",51.3663402404403,"Coconut Grove"
"131",46.717278022808,"Coconut Grove"
"132",49.4356192724081,"Coconut Grove"
"133",48.9270162994741,"Coconut Grove"
"134",52.348345170496,"Coconut Grove"
"135",51.176106370287,"Coconut Grove"
"136",46.0847051990218,"Coconut Grove"
"137",47.0567104876041,"Coconut Grove"
"138",46.3758730572415,"Coconut Grove"
"139",44.4561012139078,"Coconut Grove"
"140",49.9377781003248,"Coconut Grove"
"141",42.6129315959755,"Coconut Grove"
"142",43.149072325225,"Coconut Grove"
"143",47.0291058222045,"Coconut Grove"
"144",48.7115650370683,"Coconut Grove"
"145",46.8077192181256,"Coconut Grove"
"146",45.6993879148271,"Coconut Grove"
"147",48.5095511870459,"Coconut Grove"
"148",49.13975067914,"Coconut Grove"
"149",54.6913867542986,"Coconut Grove"
"150",44.7065887525262,"Coconut Grove"
"151",46.1491196166491,"Coconut Grove"
"152",45.6382486597452,"Coconut Grove"
"153",44.4367206536932,"Coconut Grove"
"154",46.3388983238721,"Coconut Grove"
"155",46.4000786547549,"Coconut Grove"
"156",43.9473407691577,"Coconut Grove"
"157",46.491353302286,"Coconut Grove"
"158",49.7919324341929,"Coconut Grove"
"159",46.2922384153206,"Coconut Grove"
"160",50.0714477343485,"Coconut Grove"
"161",52.0784691030858,"Coconut Grove"
"162",49.4272891459987,"Coconut Grove"
"163",45.9284149752464,"Coconut Grove"
"164",46.2873177087633,"Coconut Grove"
"165",49.686240565381,"Coconut Grove"
"166",48.7090372540755,"Coconut Grove"
"167",49.2738183897221,"Coconut Grove"
"168",48.1207751237787,"Coconut Grove"
"169",52.2488109296653,"Coconut Grove"
"170",48.6647888744483,"Coconut Grove"
"171",45.5710243003909,"Coconut Grove"
"172",46.3449805125594,"Coconut Grove"
"173",41.8918597764801,"Coconut Grove"
"174",48.2642176546356,"Coconut Grove"
"175",44.4329689598642,"Coconut Grove"
"176",48.6638910563197,"Coconut Grove"
"177",47.2656845165594,"Coconut Grove"
"178",47.5727592233801,"Coconut Grove"
"179",56.5470978416502,"Coconut Grove"
"180",43.7918429533206,"Coconut Grove"
"181",47.4669171944726,"Coconut Grove"
"182",46.5913983475259,"Coconut Grove"
"183",43.9512491159374,"Coconut Grove"
"184",47.322136912914,"Coconut Grove"
"185",51.5687087713508,"Coconut Grove"
"186",46.5414017774863,"Coconut Grove"
"187",45.426434808271,"Coconut Grove"
"188",53.7807176964358,"Coconut Grove"
"189",50.057479241374,"Coconut Grove"
"190",45.5832153598165,"Coconut Grove"
"191",46.2070162875896,"Coconut Grove"
"192",53.253017462464,"Coconut Grove"
"193",52.8195221943082,"Coconut Grove"
"194",45.7076506899903,"Coconut Grove"
"195",45.6672789692646,"Coconut Grove"
"196",45.2276378017385,"Coconut Grove"
"197",46.6576326915761,"Coconut Grove"
"198",44.3487465759506,"Coconut Grove"
"199",46.7698907417711,"Coconut Grove"
"200",44.5439489010721,"Coconut Grove"
"201",45.5874527462991,"Coconut Grove"
"202",47.3133400818799,"Coconut Grove"
"203",46.7367376223905,"Coconut Grove"
"204",50.5150479071308,"Coconut Grove"
"205",44.5107255602488,"Coconut Grove"
"206",44.4766453128464,"Coconut Grove"
"207",47.0865020805271,"Coconut Grove"
"208",42.6682278613793,"Coconut Grove"
"209",44.3980862422613,"Coconut Grove"
"210",45.9249912539423,"Coconut Grove"
"211",44.3342040394666,"Coconut Grove"
"212",44.3061785903526,"Coconut Grove"
"213",48.0510957353495,"Coconut Grove"
"214",50.3531948220218,"Coconut Grove"
"215",45.3251301605254,"Coconut Grove"
"216",50.9519266195595,"Coconut Grove"
"217",47.4385803336743,"Coconut Grove"
"218",46.7859913663706,"Coconut Grove"
"219",48.5569614057895,"Coconut Grove"
"220",48.9146767921047,"Coconut Grove"
"221",47.0067074121209,"Coconut Grove"
"222",45.644339276664,"Coconut Grove"
"223",50.5501008802792,"Coconut Grove"
"224",46.0972363323439,"Coconut Grove"
"225",48.4875477648107,"Coconut Grove"
"226",46.3567197980825,"Coconut Grove"
"227",46.1029558238806,"Coconut Grove"
"228",54.3882061392302,"Coconut Grove"
"229",49.0272179115098,"Coconut Grove"
"230",46.5106834392529,"Coconut Grove"
"231",47.1509726164397,"Coconut Grove"
"232",46.4260046770777,"Coconut Grove"
"233",43.9390172553947,"Coconut Grove"
"234",49.2589193903143,"Coconut Grove"
"235",49.0162118273787,"Coconut Grove"
"236",46.1470811948358,"Coconut Grove"
"237",51.4744189928286,"Coconut Grove"
"238",45.7374974736711,"Coconut Grove"
"239",51.2782736172434,"Coconut Grove"
"240",45.9389426592737,"Coconut Grove"
"241",46.649286749142,"Coconut Grove"
"242",44.6188699266873,"Coconut Grove"
"243",54.3147818651283,"Coconut Grove"
"244",43.698727431614,"Coconut Grove"
"245",47.7836828783695,"Coconut Grove"
"246",46.1218807409052,"Coconut Grove"
