"","dBa","neighborhood"
"1",66.9032604972666,"Grapeland Heights"
"2",63.2954333141871,"Grapeland Heights"
"3",64.575352572652,"Grapeland Heights"
"4",62.6085528895916,"Grapeland Heights"
"5",60.252995283701,"Grapeland Heights"
"6",62.1700532068391,"Grapeland Heights"
"7",69.7692877855613,"Grapeland Heights"
"8",64.2780341465505,"Grapeland Heights"
"9",63.5064253151134,"Grapeland Heights"
"10",66.6642971566793,"Grapeland Heights"
"11",65.2812115862447,"Grapeland Heights"
"12",65.2252791365612,"Grapeland Heights"
"13",68.6712319264655,"Grapeland Heights"
"14",66.5580334661935,"Grapeland Heights"
"15",61.7069239735414,"Grapeland Heights"
"16",68.6307586264237,"Grapeland Heights"
"17",72.9577031972156,"Grapeland Heights"
"18",63.6481066912212,"Grapeland Heights"
"19",61.0885667677411,"Grapeland Heights"
"20",67.3040613680517,"Grapeland Heights"
"21",65.6145105785921,"Grapeland Heights"
"22",69.0152186122707,"Grapeland Heights"
"23",59.1045470782517,"Grapeland Heights"
"24",64.2657230798066,"Grapeland Heights"
"25",64.189970832658,"Grapeland Heights"
"26",65.5515900813861,"Grapeland Heights"
"27",70.1174532838286,"Grapeland Heights"
"28",68.3839561775704,"Grapeland Heights"
"29",65.2634360639365,"Grapeland Heights"
"30",59.6907159945613,"Grapeland Heights"
"31",69.0365533213321,"Grapeland Heights"
"32",68.4557570145774,"Grapeland Heights"
"33",70.1994336601531,"Grapeland Heights"
"34",69.6186915866654,"Grapeland Heights"
"35",65.7643725411534,"Grapeland Heights"
"36",67.3311221059928,"Grapeland Heights"
"37",62.5297433746296,"Grapeland Heights"
"38",64.2141106391053,"Grapeland Heights"
"39",66.78046915756,"Grapeland Heights"
"40",64.8244073335626,"Grapeland Heights"
"41",64.735309216206,"Grapeland Heights"
"42",68.5310276318258,"Grapeland Heights"
"43",59.6879581790337,"Grapeland Heights"
"44",72.220277322816,"Grapeland Heights"
"45",66.6954952887227,"Grapeland Heights"
"46",64.9846687123167,"Grapeland Heights"
"47",64.7752478341225,"Grapeland Heights"
"48",58.9331950950623,"Grapeland Heights"
"49",69.0337848207794,"Grapeland Heights"
"50",65.2194694729508,"Grapeland Heights"
"51",66.550986889908,"Grapeland Heights"
"52",66.1558159004927,"Grapeland Heights"
"53",65.0728080952094,"Grapeland Heights"
"54",66.400659893109,"Grapeland Heights"
"55",64.7975322524709,"Grapeland Heights"
"56",63.92924020439,"Grapeland Heights"
"57",62.9746851196078,"Grapeland Heights"
"58",64.5497246337219,"Grapeland Heights"
"59",65.8217000233181,"Grapeland Heights"
"60",62.1423235139167,"Grapeland Heights"
"61",64.3952115158349,"Grapeland Heights"
"62",69.2065939737644,"Grapeland Heights"
"63",68.0468305890711,"Grapeland Heights"
"64",63.8646011456974,"Grapeland Heights"
"65",60.2839591263591,"Grapeland Heights"
"66",65.9211090896846,"Grapeland Heights"
"67",59.8026575179619,"Grapeland Heights"
"68",63.0613803376638,"Grapeland Heights"
"69",65.3666499731091,"Grapeland Heights"
"70",63.6648933648849,"Grapeland Heights"
"71",66.7510179122914,"Grapeland Heights"
"72",65.3297820768434,"Grapeland Heights"
"73",67.1185047030215,"Grapeland Heights"
"74",62.7673882860946,"Grapeland Heights"
"75",62.818784561817,"Grapeland Heights"
"76",69.0219984668935,"Grapeland Heights"
"77",66.258304997169,"Grapeland Heights"
"78",65.3472678722964,"Grapeland Heights"
"79",64.849666879774,"Grapeland Heights"
"80",69.5988390379442,"Grapeland Heights"
"81",65.1239606486716,"Grapeland Heights"
"82",61.2170915031792,"Grapeland Heights"
"83",60.1707722255195,"Grapeland Heights"
"84",64.7447551679488,"Grapeland Heights"
"85",66.2463236078293,"Grapeland Heights"
"86",65.0372004277989,"Grapeland Heights"
"87",66.8470773829391,"Grapeland Heights"
"88",61.1556680605767,"Grapeland Heights"
"89",64.5122508802829,"Grapeland Heights"
"90",62.9964897322284,"Grapeland Heights"
"91",66.0726452319435,"Grapeland Heights"
"92",67.5660837770899,"Grapeland Heights"
"93",69.5553231614608,"Grapeland Heights"
"94",61.4404858977004,"Grapeland Heights"
"95",61.2193668906802,"Grapeland Heights"
"96",66.9393608852927,"Grapeland Heights"
"97",64.1795179020251,"Grapeland Heights"
"98",70.3158202589038,"Grapeland Heights"
"99",67.8234027289639,"Grapeland Heights"
"100",65.8572562498076,"Grapeland Heights"
"101",64.0846394427468,"Grapeland Heights"
"102",59.1181907680008,"Grapeland Heights"
"103",64.4953900424656,"Grapeland Heights"
"104",60.6641021270813,"Grapeland Heights"
"105",62.9928070699791,"Grapeland Heights"
"106",66.2499438296795,"Grapeland Heights"
"107",67.4270942237673,"Grapeland Heights"
"108",71.0526269066687,"Grapeland Heights"
"109",62.1347455519653,"Grapeland Heights"
"110",66.6480055186275,"Grapeland Heights"
"111",67.3444081164913,"Grapeland Heights"
"112",67.5462970434486,"Grapeland Heights"
"113",65.8431377717947,"Grapeland Heights"
"114",60.8887912918223,"Grapeland Heights"
"115",66.8302873702386,"Grapeland Heights"
"116",64.5527503034463,"Grapeland Heights"
"117",61.9915357186816,"Grapeland Heights"
"118",66.3702859096617,"Grapeland Heights"
"119",59.6878989857409,"Grapeland Heights"
"120",64.1588857237385,"Grapeland Heights"
"121",63.8853475081693,"Grapeland Heights"
"122",66.1854574810042,"Grapeland Heights"
"123",62.7431161286638,"Grapeland Heights"
"124",67.0397811120937,"Grapeland Heights"
"125",66.6285990954872,"Grapeland Heights"
"126",60.6821505383905,"Grapeland Heights"
"127",68.3485869574898,"Grapeland Heights"
"128",64.3617788481447,"Grapeland Heights"
"129",60.6159878320638,"Grapeland Heights"
"130",69.3028696440794,"Grapeland Heights"
"131",62.3325728851338,"Grapeland Heights"
"132",65.7125605682268,"Grapeland Heights"
"133",62.3045793930689,"Grapeland Heights"
"134",63.7613028232958,"Grapeland Heights"
"135",63.6017406200096,"Grapeland Heights"
"136",67.2863396460981,"Grapeland Heights"
"137",66.8875294071335,"Grapeland Heights"
"138",61.4558353726731,"Grapeland Heights"
"139",63.3878805212917,"Grapeland Heights"
"140",67.3520535626807,"Grapeland Heights"
"141",68.7929027012596,"Grapeland Heights"
"142",65.5420979703094,"Grapeland Heights"
"143",64.4920781252514,"Grapeland Heights"
"144",66.6215384060916,"Grapeland Heights"
"145",68.2412878900318,"Grapeland Heights"
"146",64.0633951172726,"Grapeland Heights"
"147",65.293435542325,"Grapeland Heights"
"148",62.4344050768729,"Grapeland Heights"
"149",62.2334937757126,"Grapeland Heights"
