"","dBa","neighborhood"
"1",49.9092841655804,"Liberty City"
"2",49.2247643932981,"Liberty City"
"3",49.5590848734885,"Liberty City"
"4",50.3891255975456,"Liberty City"
"5",47.3271086297567,"Liberty City"
"6",51.0198999699517,"Liberty City"
"7",49.5599312486211,"Liberty City"
"8",49.792442120227,"Liberty City"
"9",48.6748768651295,"Liberty City"
"10",50.3769221885908,"Liberty City"
"11",49.0348487352354,"Liberty City"
"12",49.8377756529938,"Liberty City"
"13",50.5543206657184,"Liberty City"
"14",51.604742179321,"Liberty City"
"15",49.3160681917389,"Liberty City"
"16",50.557775749138,"Liberty City"
"17",49.7257840571785,"Liberty City"
"18",50.6246364929271,"Liberty City"
"19",51.4537806760891,"Liberty City"
"20",52.0374807768539,"Liberty City"
"21",48.858118528962,"Liberty City"
"22",50.7528348589653,"Liberty City"
"23",50.7663374223651,"Liberty City"
"24",48.4729778998618,"Liberty City"
"25",49.4833220402672,"Liberty City"
"26",51.2697911564959,"Liberty City"
"27",50.7732686995341,"Liberty City"
"28",49.1426057023613,"Liberty City"
"29",49.4440525824328,"Liberty City"
"30",50.2199041350767,"Liberty City"
"31",51.4987748598827,"Liberty City"
"32",49.5810848178923,"Liberty City"
"33",49.7756440537095,"Liberty City"
"34",51.7555908750029,"Liberty City"
"35",49.4138383370492,"Liberty City"
"36",50.2689931451233,"Liberty City"
"37",51.2918946517603,"Liberty City"
"38",51.8118872223697,"Liberty City"
"39",50.163370064067,"Liberty City"
"40",49.8833941316555,"Liberty City"
"41",49.8085176883664,"Liberty City"
"42",49.7007267725842,"Liberty City"
"43",47.8951451318474,"Liberty City"
"44",49.538604429977,"Liberty City"
"45",49.9369162009869,"Liberty City"
"46",49.9971185586973,"Liberty City"
"47",51.1284380529125,"Liberty City"
"48",49.97573329272,"Liberty City"
"49",49.8573325611697,"Liberty City"
"50",50.0917188322498,"Liberty City"
"51",50.901035379656,"Liberty City"
"52",51.1556474863779,"Liberty City"
"53",51.3597298542517,"Liberty City"
"54",51.2298251527667,"Liberty City"
