"","dBa","neighborhood"
"1",52.6617862614172,"Little Haiti"
"2",53.6229099616373,"Little Haiti"
"3",53.6206884576509,"Little Haiti"
"4",55.1119044286311,"Little Haiti"
"5",55.3343614800176,"Little Haiti"
"6",54.1023887864901,"Little Haiti"
"7",51.5643377669125,"Little Haiti"
"8",54.2037673212267,"Little Haiti"
"9",51.6167039416368,"Little Haiti"
"10",54.2381812729175,"Little Haiti"
"11",55.6736637619296,"Little Haiti"
"12",52.298740779081,"Little Haiti"
"13",51.3301606833169,"Little Haiti"
"14",52.2919678821705,"Little Haiti"
"15",54.3843158348659,"Little Haiti"
"16",57.3046819579442,"Little Haiti"
"17",54.4099984203827,"Little Haiti"
"18",55.0201723754572,"Little Haiti"
"19",55.3502658522513,"Little Haiti"
"20",55.7259675214095,"Little Haiti"
"21",48.136412976368,"Little Haiti"
"22",54.9364681934597,"Little Haiti"
"23",52.420146904527,"Little Haiti"
"24",53.7531082490818,"Little Haiti"
"25",56.6566988246279,"Little Haiti"
"26",57.8226714132309,"Little Haiti"
"27",56.9044374022646,"Little Haiti"
"28",53.3695296859617,"Little Haiti"
"29",53.6414355484334,"Little Haiti"
"30",53.3897814903553,"Little Haiti"
"31",54.0685033660233,"Little Haiti"
"32",51.6443962580038,"Little Haiti"
"33",53.3277755283007,"Little Haiti"
"34",51.5528988222443,"Little Haiti"
"35",53.8641032536451,"Little Haiti"
"36",54.7456928407568,"Little Haiti"
"37",52.4456466369821,"Little Haiti"
"38",52.7414941434158,"Little Haiti"
"39",52.7906606721762,"Little Haiti"
"40",49.676370872726,"Little Haiti"
"41",55.2267115291587,"Little Haiti"
"42",51.694436380861,"Little Haiti"
"43",54.6922521806251,"Little Haiti"
"44",52.4051093872194,"Little Haiti"
"45",53.0684134985132,"Little Haiti"
"46",52.5046162636924,"Little Haiti"
"47",52.9197808602768,"Little Haiti"
"48",55.624976623424,"Little Haiti"
"49",52.8616124908559,"Little Haiti"
"50",56.4592956942446,"Little Haiti"
"51",56.1957461251951,"Little Haiti"
"52",53.4052944535173,"Little Haiti"
"53",52.436704103363,"Little Haiti"
"54",53.2052801738612,"Little Haiti"
"55",51.4380662591789,"Little Haiti"
"56",53.3099097464832,"Little Haiti"
"57",57.1970702965917,"Little Haiti"
"58",51.4870047739921,"Little Haiti"
"59",51.9117021839858,"Little Haiti"
"60",56.4648273127662,"Little Haiti"
"61",56.796522901476,"Little Haiti"
"62",56.5203302227346,"Little Haiti"
"63",53.9901682863251,"Little Haiti"
"64",51.599199484833,"Little Haiti"
"65",55.3222878258156,"Little Haiti"
"66",54.7449349833292,"Little Haiti"
"67",55.1690949003544,"Little Haiti"
"68",58.8787721243374,"Little Haiti"
"69",52.4611739591528,"Little Haiti"
"70",52.6464561369264,"Little Haiti"
"71",51.9771447928913,"Little Haiti"
"72",49.8394689477826,"Little Haiti"
"73",51.0621549091416,"Little Haiti"
"74",54.5851810849503,"Little Haiti"
"75",56.4423884937404,"Little Haiti"
"76",53.7204545297093,"Little Haiti"
"77",52.2331250890931,"Little Haiti"
"78",55.0913985657332,"Little Haiti"
"79",53.4598195622502,"Little Haiti"
"80",56.3294114838433,"Little Haiti"
"81",53.3516871778895,"Little Haiti"
"82",53.5116695624916,"Little Haiti"
"83",57.8041197568706,"Little Haiti"
"84",54.2666731329149,"Little Haiti"
"85",54.1830208042862,"Little Haiti"
"86",57.5669929874029,"Little Haiti"
"87",56.7972123939305,"Little Haiti"
"88",49.8919862237855,"Little Haiti"
"89",51.182342673721,"Little Haiti"
"90",56.7686527129005,"Little Haiti"
"91",55.3882612486774,"Little Haiti"
"92",54.7836026065354,"Little Haiti"
"93",51.5445697783108,"Little Haiti"
"94",55.3559793441266,"Little Haiti"
"95",53.5925262198705,"Little Haiti"
"96",54.9767718508252,"Little Haiti"
"97",56.1135213527012,"Little Haiti"
"98",51.9518675899642,"Little Haiti"
"99",54.2641079974507,"Little Haiti"
"100",53.2800295268015,"Little Haiti"
"101",54.9203956283431,"Little Haiti"
"102",56.2437115356425,"Little Haiti"
"103",53.9239991919915,"Little Haiti"
"104",54.9074786574607,"Little Haiti"
"105",58.0934350927551,"Little Haiti"
"106",53.8379657755538,"Little Haiti"
"107",56.0878707128373,"Little Haiti"
"108",54.4951042002832,"Little Haiti"
"109",53.4461097358966,"Little Haiti"
"110",53.2060193035162,"Little Haiti"
"111",57.1533632417782,"Little Haiti"
"112",55.2657261406047,"Little Haiti"
"113",53.757971302258,"Little Haiti"
"114",56.7489151838773,"Little Haiti"
"115",56.1790796875256,"Little Haiti"
"116",53.8366144581296,"Little Haiti"
"117",56.1517068497158,"Little Haiti"
"118",55.8758103079725,"Little Haiti"
"119",52.2619420207257,"Little Haiti"
"120",55.6605276129285,"Little Haiti"
"121",51.8391759574624,"Little Haiti"
"122",52.1306125360382,"Little Haiti"
"123",56.0788896930174,"Little Haiti"
"124",52.5997346967447,"Little Haiti"
"125",56.6725087939793,"Little Haiti"
"126",54.6415671589159,"Little Haiti"
"127",52.6353238340643,"Little Haiti"
"128",56.763697435479,"Little Haiti"
"129",54.0868631270803,"Little Haiti"
"130",54.2283799167682,"Little Haiti"
"131",56.6520621367027,"Little Haiti"
"132",55.72883946934,"Little Haiti"
"133",55.4040097559121,"Little Haiti"
"134",52.1436299556958,"Little Haiti"
"135",50.8183582846378,"Little Haiti"
"136",52.797064249853,"Little Haiti"
"137",57.3783756701925,"Little Haiti"
"138",52.8669511471792,"Little Haiti"
"139",57.1152168846941,"Little Haiti"
"140",52.3390261205246,"Little Haiti"
"141",51.9596289612208,"Little Haiti"
"142",50.5766032044243,"Little Haiti"
"143",54.753530167698,"Little Haiti"
"144",56.0894179655757,"Little Haiti"
"145",57.4299234845408,"Little Haiti"
"146",54.0653064928977,"Little Haiti"
"147",52.4074765870105,"Little Haiti"
"148",49.6747061785005,"Little Haiti"
"149",53.3575243580243,"Little Haiti"
"150",54.5229817554689,"Little Haiti"
"151",55.0208885618225,"Little Haiti"
"152",52.5983145743053,"Little Haiti"
"153",52.7240551906548,"Little Haiti"
"154",50.9947770547602,"Little Haiti"
"155",53.022680697589,"Little Haiti"
"156",52.151208333527,"Little Haiti"
"157",54.6651075362792,"Little Haiti"
"158",52.3738266628907,"Little Haiti"
"159",56.8516494470219,"Little Haiti"
"160",55.2702878153115,"Little Haiti"
"161",52.8961583610768,"Little Haiti"
"162",55.7793698409174,"Little Haiti"
"163",53.455172030717,"Little Haiti"
"164",53.6884613203938,"Little Haiti"
"165",51.5758646463192,"Little Haiti"
"166",54.4456438450273,"Little Haiti"
"167",56.6911536652223,"Little Haiti"
"168",52.0595697700314,"Little Haiti"
"169",55.0718335760388,"Little Haiti"
"170",56.7721733272521,"Little Haiti"
"171",54.145893080321,"Little Haiti"
"172",52.9950790149161,"Little Haiti"
"173",52.8608829941538,"Little Haiti"
"174",55.935127401225,"Little Haiti"
"175",53.7865160215108,"Little Haiti"
"176",53.4827188663984,"Little Haiti"
"177",51.7349378174663,"Little Haiti"
"178",55.0253115190729,"Little Haiti"
"179",50.9319844198903,"Little Haiti"
"180",49.8259187372535,"Little Haiti"
"181",56.9689634668995,"Little Haiti"
"182",53.1462522640649,"Little Haiti"
"183",55.4919031065229,"Little Haiti"
"184",53.8464633658772,"Little Haiti"
"185",57.7706440511899,"Little Haiti"
"186",55.8838430128113,"Little Haiti"
"187",53.2264886723276,"Little Haiti"
"188",52.3846486129504,"Little Haiti"
"189",51.2701621862484,"Little Haiti"
"190",53.7701285321557,"Little Haiti"
"191",55.7628594139708,"Little Haiti"
"192",52.8812181997327,"Little Haiti"
"193",53.3083645349532,"Little Haiti"
"194",53.0494767131123,"Little Haiti"
"195",54.6172888291334,"Little Haiti"
"196",52.4087794251733,"Little Haiti"
"197",55.9574097620536,"Little Haiti"
"198",54.1196317286976,"Little Haiti"
"199",55.1478948390838,"Little Haiti"
"200",54.509909512425,"Little Haiti"
"201",56.4148758510128,"Little Haiti"
"202",54.4221591176465,"Little Haiti"
"203",64.2199666071683,"Little Haiti"
"204",62.9365506824106,"Little Haiti"
"205",61.070389745757,"Little Haiti"
"206",60.6736643221229,"Little Haiti"
"207",62.5674405060709,"Little Haiti"
"208",53.4847603011876,"Little Haiti"
"209",64.3871807027608,"Little Haiti"
"210",63.1849513780326,"Little Haiti"
"211",56.3640938224271,"Little Haiti"
"212",64.1583638126031,"Little Haiti"
"213",62.3901047538966,"Little Haiti"
"214",54.0829614559188,"Little Haiti"
"215",62.7626009732485,"Little Haiti"
"216",59.9751395341009,"Little Haiti"
"217",54.4486615359783,"Little Haiti"
"218",59.145961263217,"Little Haiti"
"219",55.7204031040892,"Little Haiti"
"220",59.4255437674001,"Little Haiti"
"221",63.2134404024109,"Little Haiti"
"222",56.7633180422708,"Little Haiti"
"223",63.3852319614962,"Little Haiti"
"224",54.9410867383704,"Little Haiti"
"225",54.9718603817746,"Little Haiti"
"226",64.4846137976274,"Little Haiti"
"227",60.409160814248,"Little Haiti"
"228",53.6504560569301,"Little Haiti"
"229",58.7786748073995,"Little Haiti"
"230",58.8871606569737,"Little Haiti"
"231",64.1157868541777,"Little Haiti"
"232",59.9188335100189,"Little Haiti"
"233",56.7710461737588,"Little Haiti"
"234",54.5315237846226,"Little Haiti"
"235",53.8773347241804,"Little Haiti"
"236",63.0010281624272,"Little Haiti"
"237",63.8504859115928,"Little Haiti"
"238",63.044356812723,"Little Haiti"
"239",58.9737337194383,"Little Haiti"
"240",62.3260525660589,"Little Haiti"
"241",55.5359543096274,"Little Haiti"
"242",58.3364991284907,"Little Haiti"
"243",53.0536622432992,"Little Haiti"
"244",63.1035779397935,"Little Haiti"
"245",55.7139754220843,"Little Haiti"
"246",55.1111127557233,"Little Haiti"
"247",54.692096135579,"Little Haiti"
"248",58.0955468099564,"Little Haiti"
"249",53.5548074217513,"Little Haiti"
"250",61.983004020527,"Little Haiti"
"251",54.7450640080497,"Little Haiti"
"252",54.6756604863331,"Little Haiti"
"253",64.6354521969333,"Little Haiti"
"254",63.953255822882,"Little Haiti"
"255",55.6915401658043,"Little Haiti"
"256",63.4112842883915,"Little Haiti"
"257",58.7237715311348,"Little Haiti"
"258",59.9494898207486,"Little Haiti"
"259",56.4121126867831,"Little Haiti"
"260",60.3831574348733,"Little Haiti"
"261",55.7000573333353,"Little Haiti"
"262",60.7815225571394,"Little Haiti"
"263",61.0186324967071,"Little Haiti"
"264",55.7131610419601,"Little Haiti"
"265",60.0564871476963,"Little Haiti"
"266",60.9321920610964,"Little Haiti"
"267",55.997533342801,"Little Haiti"
"268",63.2749846521765,"Little Haiti"
"269",53.1480679986998,"Little Haiti"
"270",57.9934587497264,"Little Haiti"
"271",62.8693132903427,"Little Haiti"
"272",57.8119146004319,"Little Haiti"
"273",62.5612055659294,"Little Haiti"
"274",60.87464716658,"Little Haiti"
"275",61.3001511255279,"Little Haiti"
"276",61.7094579730183,"Little Haiti"
"277",62.7830492127687,"Little Haiti"
"278",64.6647924203426,"Little Haiti"
"279",55.8087949724868,"Little Haiti"
"280",61.8123842738569,"Little Haiti"
