"","dBa","neighborhood"
"1",56.2,"Little Havana"
"2",55.8,"Little Havana"
"3",64.9,"Little Havana"
"4",52.4,"Little Havana"
"5",51.6,"Little Havana"
"6",56.7,"Little Havana"
"7",71.4,"Little Havana"
"8",55.4,"Little Havana"
"9",61.8,"Little Havana"
"10",49.6,"Little Havana"
"11",54.2,"Little Havana"
"12",58.4,"Little Havana"
"13",74.3,"Little Havana"
"14",61.1,"Little Havana"
"15",65.3,"Little Havana"
"16",62,"Little Havana"
"17",67.9,"Little Havana"
"18",53.6,"Little Havana"
"19",53.6,"Little Havana"
"20",56,"Little Havana"
"21",72.4,"Little Havana"
"22",49.9,"Little Havana"
"23",56,"Little Havana"
"24",62.8,"Little Havana"
"25",49.5,"Little Havana"
"26",49.6,"Little Havana"
"27",71.3,"Little Havana"
"28",49.9,"Little Havana"
"29",58.4,"Little Havana"
"30",54.5,"Little Havana"
"31",58.6,"Little Havana"
"32",62.8,"Little Havana"
"33",60.4,"Little Havana"
"34",55.9,"Little Havana"
"35",48.9,"Little Havana"
"36",59.7,"Little Havana"
"37",54.5,"Little Havana"
"38",74.9,"Little Havana"
"39",48,"Little Havana"
"40",56,"Little Havana"
"41",59.3,"Little Havana"
"42",61.1,"Little Havana"
"43",55.4,"Little Havana"
"44",49.5,"Little Havana"
"45",64.3,"Little Havana"
"46",51.5,"Little Havana"
"47",62.4,"Little Havana"
"48",56,"Little Havana"
"49",60.8,"Little Havana"
"50",47.4,"Little Havana"
"51",63.1,"Little Havana"
"52",72.4,"Little Havana"
"53",53.4,"Little Havana"
"54",61.2,"Little Havana"
"55",62.7,"Little Havana"
"56",58.6,"Little Havana"
"57",55.4,"Little Havana"
"58",57.7,"Little Havana"
"59",65.3,"Little Havana"
"60",57.7,"Little Havana"
"61",57.7,"Little Havana"
"62",51,"Little Havana"
"63",53.2,"Little Havana"
"64",48.3,"Little Havana"
"65",56.2,"Little Havana"
"66",62.4,"Little Havana"
"67",67,"Little Havana"
"68",49.9,"Little Havana"
"69",48,"Little Havana"
"70",49.8,"Little Havana"
"71",61.5,"Little Havana"
"72",55.8,"Little Havana"
"73",48.3,"Little Havana"
"74",51.9,"Little Havana"
"75",61.2,"Little Havana"
"76",65.9,"Little Havana"
