"","dBa","neighborhood"
"1",57.6170020930818,"Little River"
"2",53.6092316426271,"Little River"
"3",49.0496505836753,"Little River"
"4",56.3627442979021,"Little River"
"5",58.4132265277064,"Little River"
"6",49.071952881875,"Little River"
"7",55.710488729388,"Little River"
"8",52.8165079953898,"Little River"
"9",55.7764044442266,"Little River"
"10",55.4666771075576,"Little River"
"11",53.7218363095957,"Little River"
"12",50.7292101771868,"Little River"
"13",53.9057434892432,"Little River"
"14",52.666200273711,"Little River"
"15",54.7387338499404,"Little River"
"16",60.7579957883729,"Little River"
"17",48.9556668916183,"Little River"
"18",54.0638038102994,"Little River"
"19",53.1933712742878,"Little River"
"20",52.5486069840989,"Little River"
"21",57.0494710816197,"Little River"
"22",54.1484129262674,"Little River"
"23",52.1522041782924,"Little River"
"24",54.4376485343022,"Little River"
"25",51.9425197839788,"Little River"
"26",53.6022283718614,"Little River"
"27",52.9549196070447,"Little River"
"28",50.0507674927153,"Little River"
"29",53.3680752150352,"Little River"
"30",54.8481564129321,"Little River"
"31",58.5668450373724,"Little River"
"32",51.3424803238006,"Little River"
"33",50.3561045257072,"Little River"
"34",54.7497113094793,"Little River"
"35",48.6163052600578,"Little River"
"36",52.8009262233399,"Little River"
"37",54.4922464122478,"Little River"
"38",56.8364876821324,"Little River"
"39",57.8560241714964,"Little River"
"40",53.3604798983204,"Little River"
"41",54.2866621587844,"Little River"
"42",54.819333180918,"Little River"
"43",55.6116767628851,"Little River"
"44",51.2989935217013,"Little River"
"45",47.4507702558287,"Little River"
"46",50.1338329225379,"Little River"
"47",50.8434232773262,"Little River"
"48",54.9592086923011,"Little River"
"49",49.5908807465788,"Little River"
"50",51.2665355620885,"Little River"
"51",55.1536194587301,"Little River"
"52",57.1950973187013,"Little River"
"53",50.7168752941167,"Little River"
"54",51.7503759684731,"Little River"
"55",57.5833363378766,"Little River"
"56",57.0314688245191,"Little River"
"57",56.6603133449465,"Little River"
"58",57.293045132789,"Little River"
"59",47.1527352115018,"Little River"
"60",51.1902984802243,"Little River"
"61",53.1839973924835,"Little River"
"62",53.9670969602041,"Little River"
"63",50.4776693923275,"Little River"
"64",48.2086054772221,"Little River"
"65",57.952067260439,"Little River"
"66",50.4203597658684,"Little River"
"67",54.6171732702595,"Little River"
"68",54.3523798964165,"Little River"
"69",52.9618019411079,"Little River"
"70",59.713886378261,"Little River"
"71",52.6027508706562,"Little River"
"72",54.0401612687469,"Little River"
"73",55.7044185835483,"Little River"
"74",57.8807005523961,"Little River"
"75",54.2431832434527,"Little River"
"76",51.3970604674846,"Little River"
"77",54.4273638171312,"Little River"
"78",50.7521129139585,"Little River"
"79",55.0288863664713,"Little River"
"80",52.4133039936943,"Little River"
"81",51.1505423296699,"Little River"
"82",55.5534155548044,"Little River"
"83",55.1090822114626,"Little River"
"84",56.6529908623163,"Little River"
"85",54.8724711217782,"Little River"
"86",49.501064297955,"Little River"
"87",59.4643722612625,"Little River"
"88",52.9111657921451,"Little River"
"89",54.1463394854782,"Little River"
"90",55.6876031836951,"Little River"
"91",60.4477368179901,"Little River"
"92",52.1396667156693,"Little River"
"93",54.1101746195482,"Little River"
"94",56.2897035611307,"Little River"
"95",56.6420182520917,"Little River"
"96",51.3694166866357,"Little River"
"97",52.0678595425852,"Little River"
"98",49.9873605457793,"Little River"
"99",55.4638786679148,"Little River"
"100",53.1056254465605,"Little River"
"101",53.2732790634325,"Little River"
"102",57.5558743829278,"Little River"
"103",57.26097345892,"Little River"
"104",55.7914106112004,"Little River"
"105",47.0190171315507,"Little River"
"106",53.8399372959558,"Little River"
"107",54.2731681174879,"Little River"
"108",55.6179757583511,"Little River"
"109",47.2556456166879,"Little River"
"110",53.7165834168762,"Little River"
"111",52.6802470412167,"Little River"
"112",49.8766351209161,"Little River"
"113",57.4856215556169,"Little River"
"114",56.4899138042091,"Little River"
"115",58.5801111405021,"Little River"
"116",55.9904793195306,"Little River"
"117",55.6564802713554,"Little River"
"118",51.2957823090067,"Little River"
"119",51.3570332165259,"Little River"
"120",57.7597454314583,"Little River"
"121",49.8834653404622,"Little River"
"122",54.5517959460401,"Little River"
"123",51.1675171639026,"Little River"
"124",52.009723298709,"Little River"
"125",52.9595698260308,"Little River"
"126",51.2031605987632,"Little River"
"127",57.3015339177491,"Little River"
"128",53.7099427077721,"Little River"
"129",60.5169306971553,"Little River"
"130",53.1150953335736,"Little River"
"131",51.2330475759346,"Little River"
"132",54.7806188580706,"Little River"
"133",52.9294367146599,"Little River"
"134",49.7259306646834,"Little River"
"135",50.5032307843779,"Little River"
"136",53.6177805769361,"Little River"
"137",52.5418514694102,"Little River"
"138",49.1726534119798,"Little River"
"139",52.1165475496043,"Little River"
"140",53.2388979178065,"Little River"
"141",54.6796841313716,"Little River"
"142",56.0532689889391,"Little River"
"143",49.5808638301678,"Little River"
"144",54.0952750146016,"Little River"
"145",49.0949422726764,"Little River"
"146",51.3252154622108,"Little River"
"147",57.4072394041754,"Little River"
"148",51.4424757832386,"Little River"
"149",56.2421253686543,"Little River"
"150",52.0199730181465,"Little River"
"151",57.9086663246886,"Little River"
"152",53.5019247038868,"Little River"
"153",53.39602294482,"Little River"
"154",59.1593435200664,"Little River"
"155",49.8627115341381,"Little River"
"156",51.1434317409343,"Little River"
"157",52.4416198716113,"Little River"
"158",52.5597848416849,"Little River"
"159",52.2655182761093,"Little River"
"160",55.9434111041034,"Little River"
"161",52.8603333286027,"Little River"
"162",51.214858988751,"Little River"
"163",47.1969748076166,"Little River"
"164",56.0923312635554,"Little River"
"165",52.2131698036596,"Little River"
"166",53.6505773094418,"Little River"
"167",53.4752151802164,"Little River"
"168",57.2798786688273,"Little River"
"169",50.6689686705828,"Little River"
"170",54.2286798051862,"Little River"
"171",54.0374456019729,"Little River"
"172",55.1261131522129,"Little River"
"173",51.9110137142363,"Little River"
"174",53.3861554343654,"Little River"
"175",59.909207998615,"Little River"
"176",53.7000091706161,"Little River"
"177",52.8498132898703,"Little River"
"178",56.6603716455902,"Little River"
"179",52.2290892443188,"Little River"
"180",55.8850119017725,"Little River"
"181",51.189645727927,"Little River"
"182",49.3258444705303,"Little River"
"183",52.3193407434119,"Little River"
"184",51.9614089624967,"Little River"
"185",56.0367486928718,"Little River"
"186",54.544999215576,"Little River"
"187",59.3299782166854,"Little River"
"188",49.1925418990552,"Little River"
"189",49.3360580726939,"Little River"
"190",60.563786806067,"Little River"
"191",53.0441887209248,"Little River"
"192",52.1467793336714,"Little River"
"193",58.7030364472277,"Little River"
"194",56.2921635401342,"Little River"
"195",50.6139423996666,"Little River"
"196",52.3430126501433,"Little River"
"197",51.7209635264953,"Little River"
"198",56.7465896152558,"Little River"
"199",55.5770726350534,"Little River"
"200",56.3495236384523,"Little River"
"201",57.214767084457,"Little River"
"202",62.6778266867623,"Little River"
"203",54.2504638470709,"Little River"
"204",64.4197519738227,"Little River"
"205",59.0844948394224,"Little River"
"206",64.6074046138674,"Little River"
"207",63.4916619313881,"Little River"
"208",63.0021292231977,"Little River"
"209",55.6200112449005,"Little River"
"210",60.1970477076247,"Little River"
"211",58.3111456567422,"Little River"
"212",59.806376918219,"Little River"
"213",53.7740627676249,"Little River"
"214",60.434068698436,"Little River"
"215",62.7232694374397,"Little River"
"216",61.9372029518709,"Little River"
"217",55.5738459601998,"Little River"
"218",58.8644692609087,"Little River"
"219",55.6229104725644,"Little River"
"220",54.60306797456,"Little River"
"221",61.2542270915583,"Little River"
"222",55.0381201449782,"Little River"
"223",62.8327915808186,"Little River"
"224",55.6347558228299,"Little River"
"225",59.9289013436064,"Little River"
"226",56.0572484601289,"Little River"
"227",58.5559830432758,"Little River"
"228",53.1818863712251,"Little River"
"229",56.4265933549032,"Little River"
"230",54.0323836607859,"Little River"
