"","dBa","neighborhood"
"1",59.1132608862904,"Park West"
"2",65.1631478231211,"Park West"
"3",60.4671856749784,"Park West"
"4",62.463900349176,"Park West"
"5",59.6345878628934,"Park West"
"6",66.2089081846783,"Park West"
"7",64.8531729103196,"Park West"
"8",62.4341614679473,"Park West"
"9",61.8292767362696,"Park West"
"10",62.3079143287243,"Park West"
"11",64.4452373356368,"Park West"
"12",64.0483076512137,"Park West"
"13",62.3680401250465,"Park West"
"14",61.0838685878174,"Park West"
"15",63.3297806454443,"Park West"
"16",63.2248235260156,"Park West"
"17",66.3651542039311,"Park West"
"18",63.1408703525525,"Park West"
"19",64.0817260034564,"Park West"
"20",60.3112731818414,"Park West"
"21",62.8656211256523,"Park West"
"22",66.3893498299788,"Park West"
"23",60.5674562089872,"Park West"
"24",62.6905038586622,"Park West"
"25",66.9470222983342,"Park West"
"26",62.9189828996665,"Park West"
"27",61.072181612745,"Park West"
"28",61.8968513384065,"Park West"
"29",62.3335156559773,"Park West"
"30",65.5445649110291,"Park West"
"31",60.093297820275,"Park West"
"32",60.764441476107,"Park West"
"33",65.74139691879,"Park West"
"34",62.4436565402183,"Park West"
"35",67.5101602240584,"Park West"
"36",60.3166207261217,"Park West"
"37",63.3132200209388,"Park West"
"38",61.3275421926597,"Park West"
"39",60.8677879275032,"Park West"
"40",59.9316457516862,"Park West"
"41",62.8256924272558,"Park West"
"42",63.9925282071541,"Park West"
"43",60.7157125733604,"Park West"
"44",61.0601815423809,"Park West"
"45",62.6470481318365,"Park West"
"46",62.3689189938923,"Park West"
"47",64.4836345645058,"Park West"
"48",63.5696110172623,"Park West"
"49",58.6565155708675,"Park West"
"50",63.2894977747632,"Park West"
"51",64.1172736786796,"Park West"
"52",61.235188305195,"Park West"
"53",59.7096493582062,"Park West"
"54",68.3202846219306,"Park West"
"55",58.5375306203916,"Park West"
"56",59.3371912742464,"Park West"
"57",65.7235132658491,"Park West"
"58",60.4696226311049,"Park West"
"59",65.5918332436504,"Park West"
"60",62.7829973401839,"Park West"
"61",58.4644757190665,"Park West"
"62",62.2713115529994,"Park West"
"63",63.4630290929043,"Park West"
"64",62.2914545784325,"Park West"
"65",61.529748274251,"Park West"
"66",57.8206187501559,"Park West"
"67",62.0407772701525,"Park West"
"68",63.9560689817093,"Park West"
"69",60.498434765393,"Park West"
"70",62.8681463437102,"Park West"
"71",63.7385176304361,"Park West"
"72",62.7828117699343,"Park West"
"73",60.9575138004689,"Park West"
"74",59.552192328406,"Park West"
"75",61.645229047839,"Park West"
"76",60.0402702736572,"Park West"
"77",63.927173675089,"Park West"
"78",59.6525043519929,"Park West"
"79",62.6673607237762,"Park West"
"80",64.6872861801772,"Park West"
"81",63.1441463846858,"Park West"
"82",60.8212997551913,"Park West"
"83",60.9508758588347,"Park West"
"84",61.4579196385807,"Park West"
"85",66.2297556574225,"Park West"
"86",66.0726416767607,"Park West"
"87",63.8395328790663,"Park West"
"88",63.9663054734478,"Park West"
"89",60.8629027030236,"Park West"
"90",67.9414601853316,"Park West"
"91",63.8139806144815,"Park West"
"92",62.5086869454041,"Park West"
"93",65.6456852554044,"Park West"
"94",61.1110926740389,"Park West"
"95",63.7714981090838,"Park West"
"96",62.939539061317,"Park West"
"97",62.7326001074409,"Park West"
"98",62.1696652440724,"Park West"
"99",59.1991464646403,"Park West"
"100",59.0811964250618,"Park West"
"101",63.0284653005883,"Park West"
"102",61.014747447043,"Park West"
"103",63.5790101749138,"Park West"
"104",63.2580879876001,"Park West"
"105",58.8675105281984,"Park West"
"106",65.1177346243471,"Park West"
"107",62.3063984400241,"Park West"
