"","dBa","neighborhood"
"1",57.0675261206981,"Silver Bluffs"
"2",53.2586303331386,"Silver Bluffs"
"3",58.2812880365588,"Silver Bluffs"
"4",54.9249537393013,"Silver Bluffs"
"5",56.8633838513623,"Silver Bluffs"
"6",52.3395472981533,"Silver Bluffs"
"7",52.8085600938943,"Silver Bluffs"
"8",57.1407987367354,"Silver Bluffs"
"9",46.257082259321,"Silver Bluffs"
"10",53.9339732725487,"Silver Bluffs"
"11",54.4352414201337,"Silver Bluffs"
"12",53.569469249895,"Silver Bluffs"
"13",52.1704695179575,"Silver Bluffs"
"14",56.3570369082287,"Silver Bluffs"
"15",53.9076757955524,"Silver Bluffs"
"16",52.5164563259649,"Silver Bluffs"
"17",51.6707506315775,"Silver Bluffs"
"18",54.0040817996306,"Silver Bluffs"
"19",56.526700685137,"Silver Bluffs"
"20",55.033600660513,"Silver Bluffs"
"21",50.1526967481773,"Silver Bluffs"
"22",54.9998741290643,"Silver Bluffs"
"23",55.7075520424237,"Silver Bluffs"
"24",55.6129679159177,"Silver Bluffs"
"25",52.7000481495877,"Silver Bluffs"
"26",51.5000242219766,"Silver Bluffs"
"27",55.5386680638968,"Silver Bluffs"
"28",55.0159312246659,"Silver Bluffs"
"29",54.5409264168448,"Silver Bluffs"
"30",52.4583551802629,"Silver Bluffs"
"31",52.1844924029169,"Silver Bluffs"
"32",54.4125916633173,"Silver Bluffs"
"33",51.5466261333923,"Silver Bluffs"
"34",53.0330390414756,"Silver Bluffs"
"35",51.9504317030611,"Silver Bluffs"
"36",53.7633634793511,"Silver Bluffs"
"37",54.367510944102,"Silver Bluffs"
"38",53.9575229119648,"Silver Bluffs"
"39",56.2724351022703,"Silver Bluffs"
"40",55.6799808069375,"Silver Bluffs"
"41",54.9554263517309,"Silver Bluffs"
"42",54.9759073615045,"Silver Bluffs"
"43",53.7244513916257,"Silver Bluffs"
"44",55.2565854317924,"Silver Bluffs"
"45",52.0502176534857,"Silver Bluffs"
"46",53.4920942461403,"Silver Bluffs"
"47",52.0704604114801,"Silver Bluffs"
"48",54.0700760771158,"Silver Bluffs"
"49",52.6479647821203,"Silver Bluffs"
"50",53.9355082146034,"Silver Bluffs"
"51",54.2348713285158,"Silver Bluffs"
"52",53.0877121533587,"Silver Bluffs"
"53",51.3689756661808,"Silver Bluffs"
"54",52.968083031038,"Silver Bluffs"
"55",53.8481286161807,"Silver Bluffs"
"56",48.9392249207561,"Silver Bluffs"
"57",55.2795216886344,"Silver Bluffs"
"58",51.547653003728,"Silver Bluffs"
"59",52.4232845989397,"Silver Bluffs"
"60",54.0488196963403,"Silver Bluffs"
"61",54.837574361639,"Silver Bluffs"
"62",57.0492111112332,"Silver Bluffs"
"63",52.3540665195976,"Silver Bluffs"
"64",55.2023316044437,"Silver Bluffs"
"65",55.8548557691587,"Silver Bluffs"
"66",51.5117096898919,"Silver Bluffs"
"67",54.3555543512287,"Silver Bluffs"
"68",51.9580768527282,"Silver Bluffs"
"69",54.6510208677284,"Silver Bluffs"
"70",55.4605124784519,"Silver Bluffs"
"71",54.518409822802,"Silver Bluffs"
"72",52.3368837454147,"Silver Bluffs"
"73",53.8648151424687,"Silver Bluffs"
"74",54.0136486717288,"Silver Bluffs"
"75",50.7110382670498,"Silver Bluffs"
"76",54.4579051570686,"Silver Bluffs"
"77",52.6660980584643,"Silver Bluffs"
"78",53.0470644376452,"Silver Bluffs"
"79",53.0464596140414,"Silver Bluffs"
"80",52.7999611922354,"Silver Bluffs"
"81",54.6998305918656,"Silver Bluffs"
"82",56.5530049314077,"Silver Bluffs"
"83",54.8139729951346,"Silver Bluffs"
"84",52.4195613832248,"Silver Bluffs"
"85",50.7808422360363,"Silver Bluffs"
"86",57.6378949036105,"Silver Bluffs"
"87",53.7402298025578,"Silver Bluffs"
"88",52.4679397972235,"Silver Bluffs"
"89",53.2454380494069,"Silver Bluffs"
"90",56.0764191807079,"Silver Bluffs"
"91",57.3192129697373,"Silver Bluffs"
"92",54.3758722352527,"Silver Bluffs"
"93",56.2874936027166,"Silver Bluffs"
"94",55.6063892508353,"Silver Bluffs"
"95",51.6464114908008,"Silver Bluffs"
"96",56.0529929374614,"Silver Bluffs"
"97",50.7723849954323,"Silver Bluffs"
"98",53.580051175593,"Silver Bluffs"
"99",55.9957670919954,"Silver Bluffs"
"100",52.7826917113752,"Silver Bluffs"
"101",56.2407597508784,"Silver Bluffs"
"102",56.2720141372072,"Silver Bluffs"
"103",55.7032544437604,"Silver Bluffs"
"104",51.866089007069,"Silver Bluffs"
"105",52.8347089018343,"Silver Bluffs"
"106",54.5983872984422,"Silver Bluffs"
"107",51.9089435931368,"Silver Bluffs"
"108",52.9548165592921,"Silver Bluffs"
"109",54.2912530067109,"Silver Bluffs"
