"","dBa","neighborhood"
"1",47.2,"TheRoads"
"2",51,"TheRoads"
"3",46.7,"TheRoads"
"4",53,"TheRoads"
"5",49.5,"TheRoads"
"6",46.8,"TheRoads"
"7",46.6,"TheRoads"
"8",44.4,"TheRoads"
"9",47.0924672428929,"TheRoads"
"10",49.5,"TheRoads"
"11",51.5,"TheRoads"
"12",47,"TheRoads"
"13",46.3946728165903,"TheRoads"
"14",46.6650869450455,"TheRoads"
"15",47.5,"TheRoads"
"16",55.1,"TheRoads"
"17",53,"TheRoads"
"18",47.7,"TheRoads"
"19",46.4,"TheRoads"
"20",48,"TheRoads"
"21",47.9965227777213,"TheRoads"
"22",48.2663311723586,"TheRoads"
"23",47.1,"TheRoads"
"24",51.5,"TheRoads"
"25",48.3,"TheRoads"
"26",48.6,"TheRoads"
"27",45.9,"TheRoads"
"28",50.9,"TheRoads"
"29",44,"TheRoads"
"30",49.5,"TheRoads"
"31",47.5632623313581,"TheRoads"
"32",48.9,"TheRoads"
"33",47.3,"TheRoads"
"34",54.2,"TheRoads"
"35",50.9,"TheRoads"
"36",48,"TheRoads"
"37",48.2,"TheRoads"
"38",46.5,"TheRoads"
"39",45.4,"TheRoads"
"40",54.6,"TheRoads"
"41",46.8,"TheRoads"
"42",46.6456091002248,"TheRoads"
"43",46.8,"TheRoads"
"44",47.9,"TheRoads"
"45",48,"TheRoads"
"46",51,"TheRoads"
"47",47.9,"TheRoads"
"48",51,"TheRoads"
"49",46.6,"TheRoads"
"50",47.3,"TheRoads"
"51",48.2,"TheRoads"
"52",47.3,"TheRoads"
"53",47.5547584639376,"TheRoads"
"54",46.6186415606497,"TheRoads"
"55",54.6,"TheRoads"
"56",53.8,"TheRoads"
"57",53.2,"TheRoads"
"58",44.9,"TheRoads"
"59",47.5,"TheRoads"
"60",51,"TheRoads"
"61",54,"TheRoads"
"62",48.1,"TheRoads"
"63",49,"TheRoads"
"64",53,"TheRoads"
"65",53,"TheRoads"
"66",47.3,"TheRoads"
"67",52.5,"TheRoads"
"68",46.6650869450455,"TheRoads"
"69",46.3,"TheRoads"
"70",47.3,"TheRoads"
"71",48.4,"TheRoads"
"72",49,"TheRoads"
"73",53,"TheRoads"
"74",47.8,"TheRoads"
"75",51.8,"TheRoads"
"76",47.1,"TheRoads"
"77",45.8,"TheRoads"
"78",51.7,"TheRoads"
"79",45.8,"TheRoads"
"80",55.2,"TheRoads"
"81",47.9965227777213,"TheRoads"
"82",49.1,"TheRoads"
"83",46.5,"TheRoads"
"84",52.3,"TheRoads"
"85",52.9,"TheRoads"
"86",45.7948634365061,"TheRoads"
"87",46.6650869450455,"TheRoads"
"88",49.5,"TheRoads"
"89",48.4,"TheRoads"
"90",51.3,"TheRoads"
"91",46.8,"TheRoads"
"92",49.1,"TheRoads"
"93",47.8,"TheRoads"
"94",47.3,"TheRoads"
"95",47.8,"TheRoads"
"96",50.6,"TheRoads"
"97",45.9,"TheRoads"
"98",49.9,"TheRoads"
"99",50.7,"TheRoads"
"100",53.8,"TheRoads"
"101",45.4,"TheRoads"
"102",48.2663311723586,"TheRoads"
"103",43.6,"TheRoads"
"104",47.7,"TheRoads"
"105",54.6,"TheRoads"
"106",54.6,"TheRoads"
"107",55.2,"TheRoads"
"108",46.7,"TheRoads"
"109",46.4,"TheRoads"
"110",50.3,"TheRoads"
"111",52.9,"TheRoads"
"112",47.5195404554232,"TheRoads"
"113",47.0924672428929,"TheRoads"
"114",47.7,"TheRoads"
"115",48.4,"TheRoads"
"116",47.8,"TheRoads"
"117",49.9,"TheRoads"
"118",46.9380595461159,"TheRoads"
"119",45.9,"TheRoads"
"120",45.4,"TheRoads"
"121",49.5,"TheRoads"
"122",56.6,"TheRoads"
"123",55.2,"TheRoads"
"124",48,"TheRoads"
"125",45.7948634365061,"TheRoads"
"126",46.8,"TheRoads"
"127",53.2,"TheRoads"
"128",45.4,"TheRoads"
"129",48.4,"TheRoads"
"130",47.1,"TheRoads"
"131",53.8,"TheRoads"
"132",47.5,"TheRoads"
"133",47.9965227777213,"TheRoads"
"134",44,"TheRoads"
"135",48.4,"TheRoads"
"136",45.7948634365061,"TheRoads"
"137",48.4,"TheRoads"
"138",46.6,"TheRoads"
"139",48.6,"TheRoads"
"140",48.1,"TheRoads"
"141",46.4,"TheRoads"
"142",49.1,"TheRoads"
"143",46.8,"TheRoads"
"144",47.8,"TheRoads"
"145",47.3,"TheRoads"
"146",49.9,"TheRoads"
"147",46.6186415606497,"TheRoads"
"148",55.9,"TheRoads"
"149",51.9,"TheRoads"
"150",46,"TheRoads"
"151",49.1,"TheRoads"
"152",47.5,"TheRoads"
"153",46.3,"TheRoads"
"154",55.4,"TheRoads"
"155",47,"TheRoads"
"156",51.3,"TheRoads"
"157",48.1,"TheRoads"
"158",45.1,"TheRoads"
"159",47.4,"TheRoads"
"160",46.3,"TheRoads"
"161",46.4,"TheRoads"
"162",49.1,"TheRoads"
"163",55.9,"TheRoads"
"164",51.1,"TheRoads"
"165",46.6186415606497,"TheRoads"
"166",45.4,"TheRoads"
"167",50.7,"TheRoads"
"168",47.4,"TheRoads"
"169",51.9,"TheRoads"
"170",53.8,"TheRoads"
"171",47.9,"TheRoads"
"172",47.9,"TheRoads"
"173",53.8,"TheRoads"
"174",47.5075363845557,"TheRoads"
"175",47.8,"TheRoads"
"176",47,"TheRoads"
"177",53.8,"TheRoads"
"178",51,"TheRoads"
"179",49.6,"TheRoads"
"180",49.6,"TheRoads"
"181",51.8,"TheRoads"
"182",47.5195404554232,"TheRoads"
"183",46.8,"TheRoads"
"184",48.4,"TheRoads"
"185",51,"TheRoads"
"186",50.3,"TheRoads"
"187",47.1,"TheRoads"
"188",47,"TheRoads"
"189",54.6,"TheRoads"
"190",46.7,"TheRoads"
"191",47.5547584639376,"TheRoads"
"192",50.2,"TheRoads"
"193",47.2,"TheRoads"
"194",50.5,"TheRoads"
"195",46.7,"TheRoads"
"196",46.7,"TheRoads"
"197",53,"TheRoads"
"198",47.3,"TheRoads"
"199",46.7,"TheRoads"
"200",45.8,"TheRoads"
"201",50.7,"TheRoads"
"202",46.8,"TheRoads"
"203",50.7,"TheRoads"
"204",48.2663311723586,"TheRoads"
"205",48.6,"TheRoads"
"206",51.2,"TheRoads"
"207",53,"TheRoads"
"208",49.9,"TheRoads"
"209",46.6650869450455,"TheRoads"
"210",46.7,"TheRoads"
"211",50.5,"TheRoads"
"212",55.1,"TheRoads"
"213",51.5,"TheRoads"
"214",46.6186415606497,"TheRoads"
"215",46.6186415606497,"TheRoads"
"216",51.2,"TheRoads"
