"","dBa","neighborhood"
"1",72.8307825893929,"West Flagler"
"2",70.8260543661187,"West Flagler"
"3",50.7401253981516,"West Flagler"
"4",56.3108976607211,"West Flagler"
"5",57.6165934009477,"West Flagler"
"6",67.5654775300995,"West Flagler"
"7",59.4221409892663,"West Flagler"
"8",77.7355586378835,"West Flagler"
"9",72.6915085670502,"West Flagler"
"10",73.2220467503713,"West Flagler"
"11",50.9065474100411,"West Flagler"
"12",54.695016680751,"West Flagler"
"13",52.1069945847616,"West Flagler"
"14",49.6651058552787,"West Flagler"
"15",53.3996731694788,"West Flagler"
"16",70.6103788563982,"West Flagler"
"17",70.9323744262459,"West Flagler"
"18",52.7179494665936,"West Flagler"
"19",51.6058772770688,"West Flagler"
"20",73.140746708902,"West Flagler"
"21",52.1749266020954,"West Flagler"
"22",53.3811413454823,"West Flagler"
"23",61.3862821239047,"West Flagler"
"24",67.3699430926703,"West Flagler"
"25",56.3428863091394,"West Flagler"
"26",54.7920393729582,"West Flagler"
"27",54.4148649256676,"West Flagler"
"28",53.4645887605846,"West Flagler"
"29",53.7279261399992,"West Flagler"
"30",50.5594417041168,"West Flagler"
"31",54.9129219374619,"West Flagler"
"32",61.9569117007777,"West Flagler"
"33",70.7817658135668,"West Flagler"
"34",57.9412432150915,"West Flagler"
"35",51.5042299146764,"West Flagler"
"36",71.9007557707066,"West Flagler"
"37",52.7058601202443,"West Flagler"
"38",67.6228116861544,"West Flagler"
"39",50.8957672621124,"West Flagler"
"40",60.4066672975197,"West Flagler"
"41",73.4464492221264,"West Flagler"
"42",55.8775032022968,"West Flagler"
"43",74.7721629394086,"West Flagler"
"44",53.7669077172875,"West Flagler"
"45",52.4093985523097,"West Flagler"
"46",56.198195641581,"West Flagler"
"47",56.695968480967,"West Flagler"
"48",49.0652794159949,"West Flagler"
"49",61.6734741425142,"West Flagler"
"50",48.8499118532054,"West Flagler"
"51",52.3300186112523,"West Flagler"
"52",72.2872333373765,"West Flagler"
"53",50.9447679210454,"West Flagler"
"54",58.310054765828,"West Flagler"
"55",73.6512616628781,"West Flagler"
"56",50.1389457928948,"West Flagler"
"57",49.7518485792913,"West Flagler"
"58",55.2271055953577,"West Flagler"
"59",54.9507162910886,"West Flagler"
"60",51.0124255550094,"West Flagler"
"61",56.3642283722758,"West Flagler"
"62",57.8683541932143,"West Flagler"
"63",57.1497925997712,"West Flagler"
"64",52.9356318220496,"West Flagler"
"65",73.1078595805461,"West Flagler"
"66",72.9440782460218,"West Flagler"
"67",66.3165198066272,"West Flagler"
"68",55.6194892742671,"West Flagler"
"69",50.1904909123667,"West Flagler"
"70",58.8516750578769,"West Flagler"
"71",56.9218247345649,"West Flagler"
"72",67.0189370949753,"West Flagler"
"73",56.0001299378462,"West Flagler"
"74",58.6975921946578,"West Flagler"
"75",55.1814454711042,"West Flagler"
"76",54.4956840958446,"West Flagler"
"77",73.3578997827771,"West Flagler"
"78",52.8872754694894,"West Flagler"
"79",58.0111972068436,"West Flagler"
"80",56.2459447872825,"West Flagler"
"81",55.9085069673136,"West Flagler"
"82",73.0680207844982,"West Flagler"
"83",54.6881059437059,"West Flagler"
"84",61.4675040734,"West Flagler"
"85",73.3686196436674,"West Flagler"
"86",60.4012033179402,"West Flagler"
"87",72.2823463893397,"West Flagler"
"88",56.2803481388837,"West Flagler"
"89",57.1367140182294,"West Flagler"
"90",55.9856236473657,"West Flagler"
"91",59.5027455168776,"West Flagler"
"92",74.8842688071609,"West Flagler"
"93",51.1930877097882,"West Flagler"
"94",52.7839814305305,"West Flagler"
"95",71.2284289678559,"West Flagler"
"96",52.7534598097205,"West Flagler"
"97",71.1738513378426,"West Flagler"
"98",58.8113116778433,"West Flagler"
"99",55.2904872034676,"West Flagler"
"100",56.2826585840434,"West Flagler"
"101",73.4677747069822,"West Flagler"
"102",73.9895152442688,"West Flagler"
"103",63.3978545871563,"West Flagler"
"104",71.7106611388549,"West Flagler"
"105",53.4256341779605,"West Flagler"
"106",60.0656457508914,"West Flagler"
"107",72.4392431346416,"West Flagler"
"108",50.6574808306992,"West Flagler"
"109",54.9536917300895,"West Flagler"
"110",57.1845643076114,"West Flagler"
"111",67.7959035940468,"West Flagler"
"112",69.8023557091132,"West Flagler"
"113",51.6130843121558,"West Flagler"
"114",51.0261174385436,"West Flagler"
"115",81.3515890345909,"West Flagler"
"116",53.9287095377222,"West Flagler"
"117",51.5115435420536,"West Flagler"
"118",50.7828926255927,"West Flagler"
"119",73.0917633714558,"West Flagler"
"120",56.7861174212769,"West Flagler"
