"","X","Decibel Level","Neighborhood","Type","Municipality"
"1",1,54.2014465313697,"Allapattah","Suburban","Miami"
"2",2,53.4325184802533,"Allapattah","Suburban","Miami"
"3",3,55.8526731969588,"Allapattah","Suburban","Miami"
"4",4,54.4775344065647,"Allapattah","Suburban","Miami"
"5",5,53.7425030932786,"Allapattah","Suburban","Miami"
"6",6,55.2761260224309,"Allapattah","Suburban","Miami"
"7",7,52.6550047863507,"Allapattah","Suburban","Miami"
"8",8,54.7158088736577,"Allapattah","Suburban","Miami"
"9",9,52.5503601531474,"Allapattah","Suburban","Miami"
"10",10,53.3837681287736,"Allapattah","Suburban","Miami"
"11",11,52.1180939802433,"Allapattah","Suburban","Miami"
"12",12,54.103463281458,"Allapattah","Suburban","Miami"
"13",13,55.1281920941379,"Allapattah","Suburban","Miami"
"14",14,51.7267906860781,"Allapattah","Suburban","Miami"
"15",15,58.1741437525057,"Allapattah","Suburban","Miami"
"16",16,53.3298575766434,"Allapattah","Suburban","Miami"
"17",17,54.9311053900454,"Allapattah","Suburban","Miami"
"18",18,52.881543512881,"Allapattah","Suburban","Miami"
"19",19,55.251112193328,"Allapattah","Suburban","Miami"
"20",20,56.699803000455,"Allapattah","Suburban","Miami"
"21",21,54.7161591092832,"Allapattah","Suburban","Miami"
"22",22,54.5176186473221,"Allapattah","Suburban","Miami"
"23",23,53.6189831971726,"Allapattah","Suburban","Miami"
"24",24,53.0157982261833,"Allapattah","Suburban","Miami"
"25",25,53.2180419846026,"Allapattah","Suburban","Miami"
"26",26,49.6784219294966,"Allapattah","Suburban","Miami"
"27",27,51.2324759821504,"Allapattah","Suburban","Miami"
"28",28,55.3235910308009,"Allapattah","Suburban","Miami"
"29",29,51.3069967213215,"Allapattah","Suburban","Miami"
"30",30,52.5268486988861,"Allapattah","Suburban","Miami"
"31",31,54.0556933749306,"Allapattah","Suburban","Miami"
"32",32,55.4163179156552,"Allapattah","Suburban","Miami"
"33",33,52.3618744253752,"Allapattah","Suburban","Miami"
"34",34,52.9303727456233,"Allapattah","Suburban","Miami"
"35",35,53.5036052607433,"Allapattah","Suburban","Miami"
"36",36,52.6648095548789,"Allapattah","Suburban","Miami"
"37",37,54.9167291121789,"Allapattah","Suburban","Miami"
"38",38,56.6080387013803,"Allapattah","Suburban","Miami"
"39",39,52.3597549177948,"Allapattah","Suburban","Miami"
"40",40,54.987726976709,"Allapattah","Suburban","Miami"
"41",41,55.3589058486515,"Allapattah","Suburban","Miami"
"42",42,56.0704895554537,"Allapattah","Suburban","Miami"
"43",43,55.7746027455006,"Allapattah","Suburban","Miami"
"44",44,52.9135951846275,"Allapattah","Suburban","Miami"
"45",45,54.3717383101254,"Allapattah","Suburban","Miami"
"46",46,54.2229096641767,"Allapattah","Suburban","Miami"
"47",47,53.8735153733227,"Allapattah","Suburban","Miami"
"48",48,51.1924234819,"Allapattah","Suburban","Miami"
"49",49,53.6551345738628,"Allapattah","Suburban","Miami"
"50",50,55.3436551112023,"Allapattah","Suburban","Miami"
"51",51,51.1526251703181,"Allapattah","Suburban","Miami"
"52",52,54.5976726695714,"Allapattah","Suburban","Miami"
"53",53,53.4751531960824,"Allapattah","Suburban","Miami"
"54",54,54.386920372442,"Allapattah","Suburban","Miami"
"55",55,55.1412145146419,"Allapattah","Suburban","Miami"
"56",56,55.3988016640316,"Allapattah","Suburban","Miami"
"57",57,53.0151506173659,"Allapattah","Suburban","Miami"
"58",58,54.8095421907775,"Allapattah","Suburban","Miami"
"59",59,55.5492279883969,"Allapattah","Suburban","Miami"
"60",60,55.324818673864,"Allapattah","Suburban","Miami"
"61",61,50.83096217615,"Allapattah","Suburban","Miami"
"62",62,55.4709977748659,"Allapattah","Suburban","Miami"
"63",63,52.5405778550481,"Allapattah","Suburban","Miami"
"64",64,53.0407587198115,"Allapattah","Suburban","Miami"
"65",65,55.3068063419082,"Allapattah","Suburban","Miami"
"66",66,52.8069319812561,"Allapattah","Suburban","Miami"
"67",67,56.4990723103089,"Allapattah","Suburban","Miami"
"68",68,51.4432233173209,"Allapattah","Suburban","Miami"
"69",69,52.6761901334692,"Allapattah","Suburban","Miami"
"70",70,55.1485695363435,"Allapattah","Suburban","Miami"
"71",71,51.1564300824346,"Allapattah","Suburban","Miami"
"72",72,54.6863996531559,"Allapattah","Suburban","Miami"
"73",73,56.4098172408959,"Allapattah","Suburban","Miami"
"74",74,54.6707024143175,"Allapattah","Suburban","Miami"
"75",75,52.3782868754154,"Allapattah","Suburban","Miami"
"76",76,52.676237129644,"Allapattah","Suburban","Miami"
"77",77,54.2768239520191,"Allapattah","Suburban","Miami"
"78",78,54.9659730769019,"Allapattah","Suburban","Miami"
"79",79,54.9964831457454,"Allapattah","Suburban","Miami"
"80",80,54.7306431524443,"Allapattah","Suburban","Miami"
"81",81,62.905472542779,"Allapattah","Suburban","Miami"
"82",82,64.6226599226344,"Allapattah","Suburban","Miami"
"83",83,63.3830145793448,"Allapattah","Suburban","Miami"
"84",84,63.404715926585,"Allapattah","Suburban","Miami"
"85",85,63.2143195613764,"Allapattah","Suburban","Miami"
"86",86,64.1203440235014,"Allapattah","Suburban","Miami"
"87",87,63.8125436083247,"Allapattah","Suburban","Miami"
"88",88,63.5564205292458,"Allapattah","Suburban","Miami"
"89",89,61.9196690243113,"Allapattah","Suburban","Miami"
"90",90,62.748900442673,"Allapattah","Suburban","Miami"
"91",91,63.4364021017586,"Allapattah","Suburban","Miami"
"92",92,62.5523906515475,"Allapattah","Suburban","Miami"
"93",93,61.5580003642843,"Allapattah","Suburban","Miami"
"94",94,63.4369544617353,"Allapattah","Suburban","Miami"
"95",95,61.993368266252,"Allapattah","Suburban","Miami"
"96",96,60.0141634642015,"Allapattah","Suburban","Miami"
"97",97,63.6555271317235,"Allapattah","Suburban","Miami"
"98",98,64.692479224285,"Allapattah","Suburban","Miami"
"99",99,64.2804308340615,"Allapattah","Suburban","Miami"
"100",100,63.7882277052151,"Allapattah","Suburban","Miami"
"101",101,61.8224390441329,"Allapattah","Suburban","Miami"
"102",102,62.8439117914372,"Allapattah","Suburban","Miami"
"103",103,61.884818891407,"Allapattah","Suburban","Miami"
"104",104,63.9351190181676,"Allapattah","Suburban","Miami"
"105",105,62.5704322311034,"Allapattah","Suburban","Miami"
"106",106,64.9532074619357,"Allapattah","Suburban","Miami"
"107",107,63.4338269115438,"Allapattah","Suburban","Miami"
"108",108,62.7746399490815,"Allapattah","Suburban","Miami"
"109",109,63.832374355482,"Allapattah","Suburban","Miami"
"110",110,64.2818998440316,"Allapattah","Suburban","Miami"
"111",111,63.9555304600549,"Allapattah","Suburban","Miami"
"112",112,63.0023953525616,"Allapattah","Suburban","Miami"
"113",113,60.8445758598132,"Allapattah","Suburban","Miami"
"114",114,62.5337413819122,"Allapattah","Suburban","Miami"
"115",115,62.8943844949133,"Allapattah","Suburban","Miami"
"116",116,63.7666623443835,"Allapattah","Suburban","Miami"
"117",117,62.3329833624314,"Allapattah","Suburban","Miami"
"118",118,62.9705937841009,"Allapattah","Suburban","Miami"
"119",119,63.6767700195943,"Allapattah","Suburban","Miami"
"120",120,61.3653395005768,"Allapattah","Suburban","Miami"
"121",121,62.7493771868142,"Allapattah","Suburban","Miami"
"122",122,64.5382547213899,"Allapattah","Suburban","Miami"
"123",123,64.1387354000619,"Allapattah","Suburban","Miami"
"124",124,62.4350073000903,"Allapattah","Suburban","Miami"
"125",125,62.3449104856546,"Allapattah","Suburban","Miami"
"126",126,63.9856002124296,"Allapattah","Suburban","Miami"
"127",127,63.5374889615153,"Allapattah","Suburban","Miami"
"128",128,62.7443006341222,"Allapattah","Suburban","Miami"
"129",129,63.7938367896725,"Allapattah","Suburban","Miami"
"130",130,63.0460143053717,"Allapattah","Suburban","Miami"
"131",131,64.4927874235491,"Allapattah","Suburban","Miami"
"132",132,62.8828348847239,"Allapattah","Suburban","Miami"
"133",133,63.7751150847627,"Allapattah","Suburban","Miami"
"134",134,65.5229647536723,"Allapattah","Suburban","Miami"
"135",135,62.0723830305849,"Allapattah","Suburban","Miami"
"136",136,61.2719238538463,"Allapattah","Suburban","Miami"
"137",137,60.919073588439,"Allapattah","Suburban","Miami"
"138",138,62.8430587966084,"Allapattah","Suburban","Miami"
"139",139,65.9296200288893,"Allapattah","Suburban","Miami"
"140",140,62.1195278718946,"Allapattah","Suburban","Miami"
"141",141,62.6713265094253,"Allapattah","Suburban","Miami"
"142",142,63.6631927045499,"Allapattah","Suburban","Miami"
"143",143,62.6436661880985,"Allapattah","Suburban","Miami"
"144",144,62.5902809302172,"Allapattah","Suburban","Miami"
"145",145,62.2389022042785,"Allapattah","Suburban","Miami"
"146",146,63.6638115620154,"Allapattah","Suburban","Miami"
"147",147,62.6508366353229,"Allapattah","Suburban","Miami"
"148",148,61.6740427716187,"Allapattah","Suburban","Miami"
"149",149,62.1985111080391,"Allapattah","Suburban","Miami"
"150",150,62.1768342010611,"Allapattah","Suburban","Miami"
"151",151,63.0027813992557,"Allapattah","Suburban","Miami"
"152",152,62.1677013895404,"Allapattah","Suburban","Miami"
